EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE989035871376,07336090,Kusel,Rutsweiler an der Lauter,7.639443,49.587196,2020-10-02,35,3450.000,3450.000,888
SEE912711226641,04012000,Bremerhaven,Bremerhaven,8.559379,53.585638,2010-10-20,35,3370.000,3370.000,888
SEE974955888467,12073579,Uckermark,Uckerland,13.792701,53.437057,2017-12-28,35,3450.000,3450.000,888
SEE972243679759,08425002,Alb-Donau-Kreis,Allmendingen,9.630342,48.391134,1999-07-08,35,750.000,750.000,888
SEE999499233566,08425002,Alb-Donau-Kreis,Allmendingen,9.630044,48.392668,1999-07-07,35,750.000,750.000,888
SEE908478772323,03256029,Nienburg (Weser),Steimbke,9.400000,52.650229,1993-10-21,35,150.000,150.000,888
SEE957221682839,03251006,Diepholz,Barver,8.714057,52.557585,2004-10-29,35,2000.000,2000.000,888
SEE970853801751,03256029,Nienburg (Weser),Steimbke,9.404517,52.646182,1996-11-01,35,250.000,250.000,888
SEE962022380846,03256029,Nienburg (Weser),Steimbke,9.404452,52.645433,1996-11-01,35,250.000,250.000,888
SEE932441620489,03256029,Nienburg (Weser),Steimbke,9.404345,52.644483,1996-11-01,35,250.000,250.000,888
SEE982669524830,08125048,Heilbronn,Jagsthausen,9.393231,49.300674,2015-12-17,35,3000.000,3000.000,888
SEE916662238104,08125048,Heilbronn,Jagsthausen,9.400442,49.301422,2015-11-10,35,3000.000,3000.000,888
SEE961707733724,14626110,Görlitz,Görlitz,14.955797,51.205714,2000-02-22,38,1500.000,1500.000,888
SEE940552043769,14626110,Görlitz,Görlitz,14.961347,51.200500,2000-02-17,35,1500.000,1500.000,888
SEE954825052532,08125048,Heilbronn,Jagsthausen,9.406628,49.301338,2015-09-29,35,3000.000,3000.000,888
SEE974799191280,03459018,Osnabrück,Gehrde,8.034538,52.552270,2002-10-01,35,1800.000,1800.000,888
SEE911932046984,01059001,Schleswig-Flensburg,Alt Bennebek,9.464164,54.385309,2016-12-13,35,3400.000,3400.000,888
SEE969505314077,03459018,Osnabrück,Gehrde,8.038597,52.554137,2002-09-27,35,1800.000,1800.000,888
SEE943780785548,03459018,Osnabrück,Gehrde,8.041434,52.552551,2002-10-01,35,1800.000,1800.000,888
SEE920250721794,15084315,Burgenlandkreis,Lützen,12.141850,51.235580,2017-09-29,35,3300.000,3300.000,888
SEE946889490313,01051047,Dithmarschen,Hemme,9.004614,54.262514,2013-11-26,35,2300.000,2300.000,888
SEE929568711459,07143203,Westerwaldkreis,Arnshöfen,7.872282,50.529604,2011-12-22,35,800.000,800.000,888
SEE934931112887,07140076,Rhein-Hunsrück-Kreis,Külz (Hunsrück),7.516194,50.016751,2013-05-29,35,2300.000,2300.000,888
