AGS,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names
09773,12,24803.6,24803.6,Dillingen a.d. Donau
09774,7,7214.6,7214.6,Günzburg
09775,2,2010,2010,Neu-Ulm
09777,35,55374,55374,Ostallgäu
09778,13,6607.4,6607.4,Unterallgäu
09779,6,10147.7,10147.7,Donau-Ries
09780,20,26222.82,26222.82,Oberallgäu
10041,8,27760,27760,Regionalverband Saarbrücken
10042,73,185206,185206,Merzig-Wadern
10043,31,74960,74960,Neunkirchen
10044,17,51560,51560,Saarlouis
10045,9,16000.6,16000.6,Saarpfalz-Kreis
10046,84,188850.6,188850.6,St. Wendel
11000,10,16575.2,16575.2,Berlin
12052,33,64002,64002,Cottbus
12053,13,21600,21600,Frankfurt (Oder)
12054,39,71750,71750,Potsdam
12060,167,408564.6,408564.6,Barnim
12061,308,694950,694950,Dahme-Spreewald
12062,322,637471,637471,Elbe-Elster
12063,163,289859.2,289859.2,Havelland
12064,263,563536,563536,Märkisch-Oderland
12065,88,155088.6,155088.6,Oberhavel
12066,184,502375,502375,Oberspreewald-Lausitz
12067,199,502127.76,502127.76,Oder-Spree
12068,341,488376,488376,Ostprignitz-Ruppin
12069,221,492083.5,492083.5,Potsdam-Mittelmark
12070,544,1122041,1122041,Prignitz
12071,88,204433.75,204433.75,Spree-Neiße
12072,407,822670,822670,Teltow-Fläming
12073,664,1580072.4,1580072.4,Uckermark
13003,12,8801.12,8801.12,Rostock
13004,14,20000,20000,Schwerin
13071,324,708622.7,708622.7,Mecklenburgische Seenplatte
13072,332,738605.8,738605.8,Rostock
13073,290,479499.8,479499.8,Vorpommern-Rügen
13074,168,315105,315105,Nordwestmecklenburg
13075,400,709854.2,709854.2,Vorpommern-Greifswald
13076,335,728500,728500,Ludwigslust-Parchim
14511,10,13150,13150,Chemnitz
14521,76,87783.6,87783.6,Erzgebirgskreis
14522,198,269504.1,269504.1,Mittelsachsen
14523,21,35008,35008,Vogtlandkreis
14524,58,126070.2,126070.2,Zwickau
14612,1,600,600,Dresden
14625,95,140841.1,140841.1,Bautzen
14626,126,200742.6,200742.6,Görlitz
14627,82,176801,176801,Meißen
14628,53,42357.6,42357.6,Sächsische Schweiz-Osterzgebirge
14713,18,27000,27000,Leipzig
14729,80,102472.8,102472.8,Leipzig
14730,108,132375.73,132375.73,Nordsachsen
15001,13,17200,17200,Dessau-Roßlau
15002,26,53582.7,53582.7,Halle (Saale)
15003,6,15780,15780,Magdeburg
15081,218,412128.8,412128.8,Altmarkkreis Salzwedel
15082,245,465230,465230,Anhalt-Bitterfeld
15083,413,712485,712485,Börde
15084,241,514974,514974,Burgenlandkreis
15085,147,269960,269960,Harz
15086,149,291985,291985,Jerichower Land
15087,232,426297,426297,Mansfeld-Südharz
15088,205,364970.6,364970.6,Saalekreis
15089,378,704435,704435,Salzlandkreis
15090,352,833285,833285,Stendal
15091,132,240091.5,240091.5,Wittenberg
16051,36,47400,47400,Erfurt
16052,6,10650,10650,Gera
16056,31,62700,62700,Eisenach
16061,42,84000,84000,Eichsfeld
16062,33,83670,83670,Nordhausen
16063,60,93125,93125,Wartburgkreis
16064,116,243801.3,243801.3,Unstrut-Hainich-Kreis
16065,101,226000,226000,Kyffhäuserkreis
16066,2,601,601,Schmalkalden-Meiningen
16067,84,220529.7,220529.7,Gotha
16068,103,245277.5,245277.5,Sömmerda
16069,6,14454.199,14454.199,Hildburghausen
16070,9,6405,6405,Ilm-Kreis
16071,61,123910.49,123910.49,Weimarer Land
16072,1,10,10,Sonneberg
16073,6,8100.6,8100.6,Saalfeld-Rudolstadt
16074,67,132043,132043,Saale-Holzland-Kreis
16075,36,55138.8,55138.8,Saale-Orla-Kreis
16076,35,62659.5,62659.5,Greiz
16077,64,112431.5,112431.5,Altenburger Land
