AGS,Jahr,Anlagen_kumuliert,Nettoleistung_kW_kumuliert,Wind_Density_kW_km2_kumuliert
01061,1989,0,0,0
01061,1990,0,0,0
01061,1991,0,0,0
01061,1992,0,0,0
01061,1993,0,0,0
01061,1994,0,0,0
01061,1995,8,4400,4.167850715165293
01061,1996,8,4400,4.167850715165293
01061,1997,8,4400,4.167850715165293
01061,1998,10,6400,6.062328312967699
01061,1999,38,42600,40.35237283319125
01061,2000,39,43600,41.29961163209245
01061,2001,99,131900,124.94079757506867
01061,2002,99,131900,124.94079757506867
01061,2003,112,153850,145.73268921095007
01061,2004,113,155350,147.15354740930186
01061,2005,128,183850,174.14985317798616
01061,2006,129,185850,176.04433077578858
01061,2007,136,214850,203.51425594392344
01061,2008,139,220850,209.19768873733068
01061,2009,139,220850,209.19768873733068
01061,2010,143,229800,217.67547598749644
01061,2011,149,239806,227.15354740930186
01061,2012,154,248906,235.7734204793028
01061,2013,159,256418,242.88907833664865
01061,2014,184,324893,307.75125509140855
01061,2015,202,373873,354.14701146158944
01061,2016,232,464380.5,439.8792270531401
